variant,bout,t_abs,code,score,gap,matched,call_snr,in_ca
raw,0,289.66999999999996,MYEV,0.8378088474273682,0.01999999999998181,True,5.911819917040486,True
raw,0,289.72999999999996,ANPA,0.4927780032157898,0.010999999999967258,True,15.22813927983563,True
raw,0,289.78999999999996,COTO,0.5808628797531128,0.003333333333387145,True,21.052778767748954,True
raw,0,289.82,ANPA,0.2667117118835449,0.026666666666642413,True,21.052778767748954,True
raw,0,290.15,ANPA,0.2269313782453537,0.020000000000038654,True,8.60508172759534,True
raw,0,290.17999999999995,ANPA,0.37496882677078247,0.009999999999934062,True,8.60508172759534,True
raw,0,290.21,LACI,0.2505449950695038,0.011666666666656056,True,18.212175567714894,True
raw,0,290.29999999999995,MYEV,0.3913138508796692,0.023999999999944066,True,16.76886377052307,True
raw,0,290.35999999999996,ANPA,0.34569036960601807,0.023333333333368955,True,5.609404856083458,True
raw,0,290.92999999999995,NYHU,0.6922999620437622,0.5466666666666242,False,,False
notched,0,289.66999999999996,MYEV,0.8424823880195618,0.01999999999998181,True,5.911819917040486,True
notched,0,289.72999999999996,ANPA,0.5032724142074585,0.010999999999967258,True,15.22813927983563,True
notched,0,289.78999999999996,COTO,0.5984576344490051,0.003333333333387145,True,21.052778767748954,True
notched,0,289.82,ANPA,0.26756855845451355,0.026666666666642413,True,21.052778767748954,True
notched,0,290.15,ANPA,0.22435764968395233,0.020000000000038654,True,8.60508172759534,True
notched,0,290.17999999999995,ANPA,0.38658562302589417,0.009999999999934062,True,8.60508172759534,True
notched,0,290.21,LACI,0.2389446496963501,0.011666666666656056,True,18.212175567714894,True
notched,0,290.29999999999995,MYEV,0.40436500310897827,0.023999999999944066,True,16.76886377052307,True
notched,0,290.35999999999996,ANPA,0.35082221031188965,0.023333333333368955,True,5.609404856083458,True
notched,0,290.92999999999995,NYHU,0.6846643686294556,0.5466666666666242,False,,False
raw,1,480.37033333333335,NYHU,0.6125078797340393,0.3100000000000023,False,,False
notched,1,480.37033333333335,NYHU,0.6237671375274658,0.3100000000000023,False,,False
